Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA3074	39936137	3479262	3479999	738	-	fabG2	3-oxoacyl-(acyl-carrier-protein) reductase	"[Q] Secondary metabolites biosynthesis, transport and catabolism, [R] General function prediction only, [I] Lipid transport and metabolism"	Metabolism	Lipids/LPS/Fatty acid metabolism	31	CCNA_01747	-	3-oxoacyl-(acyl-carrier protein) reductase	2E-106	66%	essential	17	b1093	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	3E-84	49%	essential
RPA3075	39936138	3480019	3480978	960	-	fabD	malonyl CoA-ACP transacylase	[I] Lipid transport and metabolism	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_01746	-	malonyl-CoA-(acyl-carrier-protein) transacylas	8E-126	63%	essential	1	b1092	fabD	malonyl-CoA-[acyl-carrier-protein] transacylase	7E-87	47%	essential
RPA3077	39936140	3482765	3483241	477	+	rpsF	30S ribosomal protein S6	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01741	-	SSU ribosomal protein S6P	1E-40	39%	essential	1	b4200	rpsF	30S ribosomal subunit protein S6	9E-25	28%	Nonessential
RPA3078	39936141	3483247	3483486	240	+	rpsR	30S ribosomal protein S18	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01740	-	SSU ribosomal protein S18P	1E-44	78%	essential	3	b4202	rpsR	30S ribosomal subunit protein S18	1E-29	56%	essential
RPA3084	39936147	3488450	3489946	1497	+	dnaB	replicative DNA helicase	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_01737	-	replicative DNA helicase	0E+00	56%	essential	1	b4052	dnaB	replicative DNA helicase	6E-94	34%	essential
RPA3095	39936158	3501622	3503001	1380	-	engA	GTP-binding protein EngA	[R] General function prediction only	Translation	Ribosome biogenesis	1	CCNA_01726	-	EngA-subfamily GTPase protein	0E+00	58%	essential	1	b2511	der	GTPase; multicopy suppressor of ftsJ	2E-115	42%	essential
RPA3104	39936167	3509284	3510768	1485	-	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	1	CCNA_02518	-	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferas	0E+00	65%	essential	0	no E. coli homolog found					
RPA3107	39936170	3513574	3515052	1479	-	gatA	aspartyl/glutamyl-tRNA amidotransferase subunit A	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	5	CCNA_02519	-	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferas	0E+00	73%	essential	0	no E. coli homolog found					
RPA3111	39936174	3515973	3516260	288	-	gatC	aspartyl/glutamyl-tRNA amidotransferase subunit C	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	2	CCNA_02520	-	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferas	1E-30	48%	High_Fitness_Costs	0	no E. coli homolog found					
RPA3117	39936180	3522153	3523106	954	+	pyrB	aspartate carbamoyltransferase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_02525	-	aspartate carbamoyltransferase	4E-140	64%	Nonessential	3	b4245	pyrB	"aspartate carbamoyltransferase, catalytic"	2E-40	33%	Nonessential
RPA3118	39936181	3523126	3524436	1311	+	pyr	dihydroorotase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_02526	-	dihydroorotase	1E-140	50%	Nonessential	2	b2873	hyuA	D-stereospecific phenylhydantoinase	3E-18	25%	Nonessential
RPA3119	39936182	3524580	3525191	612	+	-	glycerol-3-phosphate acyltransferase PlsY	[S] Function unknown	Metabolism	Central metabolism	1	CCNA_02528	-	PlsY-like acyl-phosphate glycerol 3-phosphat	2E-61	55%	essential	1	b3059	plsY	probable glycerol-3-phosphate acyltransferase	2E-39	39%	Nonessential
RPA3130	39936193	3538223	3538606	384	-	-	XRE family transcriptional regulator	[K] Transcription	Transcriptional regulators	Transcriptional regulators	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3133	39936196	3540354	3540719	366	-	-	chemotaxis protein CheY	[T] Signal transduction mechanisms	Sensing and signalling	Chemotaxis	66	CCNA_02547	divK	response regulator receiver protein DivK	4E-66	72%	essential	30	b2125	yehT	predicted response regulator in two-component	5E-15	39%	Nonessential
RPA3150	39936213	3557558	3559315	1758	+	-	Serine-type D-Ala-D-Ala carboxypeptidase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3169	39936232	3575128	3575865	738	+	lipB	lipoate-protein ligase B	[H] Coenzyme transport and metabolism	Protein folding/modification	Protein lipoylation	1	CCNA_02258	-	lipoate-protein ligase B	2E-95	62%	essential	1	b0630	lipB	octanoyltransferase; octanoyl-[ACP]:protein	6E-39	26%	Nonessential
RPA3225	39936288	3644784	3645203	420	-	rplQ	50S ribosomal protein L17	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01332	rplQ	LSU ribosomal protein L17P	3E-75	72%	essential	1	b3294	rplQ	50S ribosomal subunit protein L17	8E-50	52%	essential
RPA3226	39936289	3645359	3646378	1020	-	rpoA	DNA-directed RNA polymerase subunit alpha	[K] Transcription	Transcription	Transcription	1	CCNA_01330	rpoA	DNA-directed RNA polymerase alpha chain	0E+00	73%	essential	1	b3295	rpoA	"RNA polymerase, alpha subunit"	8E-103	46%	essential
RPA3227	39936290	3646512	3646901	390	-	rpsK	30S ribosomal protein S11	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01329	rpsK	SSU ribosomal protein S11P	7E-80	81%	essential	2	b3297	rpsK	30S ribosomal subunit protein S11	3E-61	63%	essential
RPA3228	161610771	3647032	3647400	369	-	rpsM	30S ribosomal protein S13	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01328	rpsM	SSU ribosomal protein S13P	3E-75	86%	essential	1	b3298	rpsM	30S ribosomal subunit protein S13	4E-48	57%	essential
RPA3230	39936293	3648697	3650028	1332	-	secY	preprotein translocase subunit SecY	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_01326	secY	protein translocase subunit secY	0E+00	63%	essential	1	b3300	secY	preprotein translocase membrane subunit	4E-161	56%	essential
RPA3231	39936294	3650181	3650666	486	-	rplO	50S ribosomal protein L15	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01325	rplO	LSU ribosomal protein L15P	3E-64	61%	essential	1	b3301	rplO	50S ribosomal subunit protein L15	6E-30	42%	essential
RPA3232	39936295	3650679	3650873	195	-	rpmD	50S ribosomal protein L30	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	3	CCNA_01324	rpmD	LSU ribosomal protein L30P	3E-24	53%	Nonessential	1	b3302	rpmD	50S ribosomal subunit protein L30	2E-14	39%	essential
RPA3233	39936296	3650932	3651507	576	-	rpsE	30S ribosomal protein S5	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01323	rpsE	SSU ribosomal protein S5P	3E-88	66%	essential	1	b3303	rpsE	30S ribosomal subunit protein S5	8E-60	46%	essential
RPA3234	39936297	3651568	3651930	363	-	rplR	50S ribosomal protein L18	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	2	CCNA_01322	rplR	LSU ribosomal protein L18P	7E-50	68%	essential	1	b3304	rplR	50S ribosomal subunit protein L18	5E-30	47%	essential
RPA3235	39936298	3651942	3652475	534	-	rplF	50S ribosomal protein L6	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01321	rplF	LSU ribosomal protein L6P	4E-76	59%	essential	1	b3305	rplF	50S ribosomal subunit protein L6	1E-60	51%	essential
RPA3236	39936299	3652588	3652986	399	-	rpsH	30S ribosomal protein S8	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01320	rpsH	SSU ribosomal protein S8P	4E-67	69%	essential	2	b3306	rpsH	30S ribosomal subunit protein S8	8E-44	48%	essential
RPA3237	39936300	3653002	3653307	306	-	rpsN	30S ribosomal protein S14	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01319	rpsN	SSU ribosomal protein S14P	1E-42	61%	essential	1	b3307	rpsN	30S ribosomal subunit protein S14	2E-25	46%	essential
RPA3238	39936301	3653351	3653908	558	-	rplE	50S ribosomal protein L5	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01318	rplE	LSU ribosomal protein L5P	1E-92	63%	essential	1	b3308	rplE	50S ribosomal subunit protein L5	1E-75	55%	essential
RPA3239	39936302	3653901	3654215	315	-	rplX	50S ribosomal protein L24	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01317	rplX	LSU ribosomal protein L24P	6E-37	57%	essential	2	b3309	rplX	50S ribosomal subunit protein L24	1E-27	53%	essential
RPA3240	39936303	3654215	3654583	369	-	rplN	50S ribosomal protein L14	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01316	rplN	LSU ribosomal protein L14P	5E-77	84%	essential	1	b3310	rplN	50S ribosomal subunit protein L14	2E-67	80%	essential
RPA3241	39936304	3654647	3654895	249	-	rpsQ	30S ribosomal protein S17	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01315	rpsQ	SSU ribosomal protein S17P	4E-31	56%	essential	1	b3311	rpsQ	30S ribosomal subunit protein S17	5E-28	50%	essential
RPA3242	39936305	3654908	3655117	210	-	rpmC	50S ribosomal protein L29	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01314	rpmC	LSU ribosomal protein L29P	5E-26	52%	essential	2	b3312	rpmC	50S ribosomal subunit protein L29	1E-13	36%	essential
RPA3243	39936306	3655123	3655536	414	-	rplP	50S ribosomal protein L16	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01313	rplP	LSU ribosomal protein L16P	2E-71	71%	essential	1	b3313	rplP	50S ribosomal subunit protein L16	2E-61	62%	essential
RPA3244	39936307	3655572	3656279	708	-	rpsC	30S ribosomal protein S3	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01312	rpsC	SSU ribosomal protein S3P	2E-131	73%	essential	1	b3314	rpsC	30S ribosomal subunit protein S3	3E-106	63%	essential
RPA3245	39936308	3656302	3656685	384	-	rplV	50S ribosomal protein L22	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01311	rplV	LSU ribosomal protein L22P	2E-54	61%	essential	2	b3315	rplV	50S ribosomal subunit protein L22	2E-30	43%	essential
RPA3246	39936309	3656696	3656974	279	-	rpsS	30S ribosomal protein S19	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01310	rpsS	SSU ribosomal protein S19P	8E-52	76%	essential	1	b3316	rpsS	30S ribosomal subunit protein S19	2E-35	52%	essential
RPA3247	39936310	3656986	3657822	837	-	rplB	50S ribosomal protein L2	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01309	rplB	LSU ribosomal protein L2P	1E-133	71%	essential	1	b3317	rplB	50S ribosomal subunit protein L2	1E-116	60%	essential
RPA3248	39936311	3657836	3658135	300	-	rplW	50S ribosomal protein L23	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01308	rplW	LSU ribosomal protein L23P	6E-42	61%	essential	1	b3318	rplW	50S ribosomal subunit protein L23	6E-24	46%	essential
RPA3249	39936312	3658132	3658752	621	-	rplD	50S ribosomal protein L4	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01307	rplD	LSU ribosomal protein L1E-L4P	4E-92	64%	essential	1	b3319	rplD	50S ribosomal subunit protein L4	4E-31	33%	essential
RPA3250	39936313	3658754	3659479	726	-	rplC	50S ribosomal protein L3	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01306	rplC	LSU ribosomal protein L3P	3E-111	63%	essential	1	b3320	rplC	50S ribosomal subunit protein L3	1E-61	43%	essential
RPA3251	39936314	3659530	3659838	309	-	rpsJ	30S ribosomal protein S10	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	3	CCNA_01305	rpsJ	SSU ribosomal protein S10P	1E-67	91%	essential	1	b3321	rpsJ	30S ribosomal subunit protein S10	2E-54	74%	essential
RPA3253	39936316	3661155	3663227	2073	-	fusA	elongation factor G	"[J] Translation, ribosomal structure and biogenesis"	Transcription	Transcription	2	CCNA_03304	-	translation elongation factor G (EF-G)	0E+00	78%	essential	1	b3340	fusA	"protein chain elongation factor EF-G,"	0E+00	61%	essential
RPA3254	39936317	3663258	3663728	471	-	rpsG	30S ribosomal protein S7	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_03305	-	SSU ribosomal protein S7P	9E-91	78%	essential	1	b3341	rpsG	30S ribosomal subunit protein S7	8E-69	59%	essential
RPA3255	39936318	3663744	3664115	372	-	rpsL	30S ribosomal protein S12	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_03306	-	SSU ribosomal protein S12P	6E-74	84%	essential	1	b3342	rpsL	30S ribosomal subunit protein S12	4E-69	75%	essential
RPA3267	39936330	3678672	3682880	4209	-	rpoC	DNA-directed RNA polymerase subunit beta'	[K] Transcription	Transcription	Transcription	1	CCNA_00537	-	DNA-directed RNA polymerase beta' chain	0E+00	70%	essential	1	b3988	rpoC	"RNA polymerase, beta prime subunit"	0E+00	59%	essential
RPA3268	39936331	3683017	3687141	4125	-	rpoB	DNA-directed RNA polymerase subunit beta	[K] Transcription	Transcription	Transcription	1	CCNA_00536	-	DNA-directed RNA polymerase beta chain	0E+00	74%	essential	1	b3987	rpoB	"RNA polymerase, beta subunit"	0E+00	59%	essential
RPA3269	39936332	3687607	3687984	378	-	rplL	50S ribosomal protein L7/L12	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00531	-	LSU ribosomal protein L12P (L7/L12)	8E-40	61%	essential	2	b3986	rplL	50S ribosomal subunit protein L7/L12	3E-30	54%	essential
RPA3270	161610770	3688040	3688558	519	-	rplJ	50S ribosomal protein L10	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00530	-	LSU ribosomal protein L10P	8E-58	53%	essential	1	b3985	rplJ	50S ribosomal subunit protein L10	2E-21	30%	essential
RPA3272	39936335	3690510	3691199	690	-	rplA	50S ribosomal protein L1	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00677	-	LSU ribosomal protein L1P	3E-93	62%	Nonessential	1	b3984	rplA	50S ribosomal subunit protein L1	3E-85	56%	Nonessential
RPA3273	39936336	3691207	3691635	429	-	rplK	50S ribosomal protein L11	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00678	-	LSU ribosomal protein L11P	3E-69	62%	essential	1	b3983	rplK	50S ribosomal subunit protein L11	8E-65	63%	Nonessential
RPA3274	39936337	3691858	3692388	531	-	nusG	transcription antitermination protein NusG	[K] Transcription	Transcription	Transcription	1	CCNA_03310	nusG	transcription antitermination protein NusG	1E-97	72%	essential	2	b3982	nusG	transcription termination factor	7E-70	53%	essential
RPA3275	39936338	3692405	3692656	252	-	secE	preprotein translocase subunit SecE	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_03311	-	protein translocase subunit SecE	4E-19	36%	essential	1	b3981	secE	preprotein translocase membrane subunit	1E-11	25%	essential
RPA3391	39936454	3832523	3833212	690	-	folE	GTP cyclohydrolase I	[H] Coenzyme transport and metabolism	Metabolism	Folate biosynthesis	1	CCNA_00491	-	GTP cyclohydrolase I	1E-81	48%	Nonessential	1	b2153	folE	GTP cyclohydrolase I	4E-34	28%	essential
RPA3401	39936464	3840399	3840596	198	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						1	b0846	rcdA	transcriptional regulator of csgD and ybiJI	8E-05	28%	Nonessential
RPA3406	39936469	3844183	3846159	1977	+	thrS	threonyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_00496	-	threonyl-tRNA synthetase	0E+00	57%	essential	1	b1719	thrS	threonyl-tRNA synthetase	0E+00	50%	essential
RPA3429	39936492	3870160	3870987	828	-	cysE2	serine O-acetyltransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_02734	-	serine acetyltransferase	5E-103	50%	Nonessential	1	b3607	cysE	serine acetyltransferase	3E-97	50%	Nonessential
RPA3433	39936496	3873751	3874944	1194	+	-	salicylate 1-monooxygenase	"[C] Energy production and conversion, [H] Coenzyme transport and metabolism"	Metabolism	Aromatic compound metabolism	1	CCNA_00106	-	2-polyprenyl-6-methoxyphenol hydroxylase	5E-10	25%	essential	1	b0662	ubiF	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol"	9E-06	24%	Nonessential
RPA3476	39936538	3922797	3923591	795	-	-	energy transducer TonB	[M] Cell wall/membrane/envelope biogenesis	Transport	Transport	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3477	39936539	3923696	3924145	450	-	exbD5	enterochelin uptake protein ExbD	"[U] Intracellular trafficking, secretion, and vesicular transport"	Transport	Transport	3	CCNA_02420	exbD	TonB accessory protein exbD	2E-33	41%	High_Fitness_Costs	2	b3005	exbD	membrane spanning protein in TonB-ExbB-ExbD	3E-46	49%	Nonessential
RPA3478	39936540	3924149	3924853	705	-	exbB5	enterochelin uptake protein ExbB	"[U] Intracellular trafficking, secretion, and vesicular transport"	Transport	Transport	2	CCNA_02421	exbB	TonB accessory protein exbB	3E-49	41%	High_Fitness_Costs	2	b3006	exbB	membrane spanning protein in TonB-ExbB-ExbD	4E-79	53%	Nonessential
RPA3492	39936554	3942439	3942981	543	-	dyr	dihydrofolate reductase (folA)	[H] Coenzyme transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_02210	-	dihydrofolate reductase	3E-49	46%	essential	1	b0048	folA	dihydrofolate reductase	1E-40	40%	essential
RPA3493	39936555	3942978	3943772	795	-	thyA	thymidylate synthase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_02208	-	thymidylate synthase	6E-147	73%	essential	1	b2827	thyA	thymidylate synthetase	2E-137	65%	Nonessential
RPA3517	39936579	3974463	3976541	2079	-	dnlJ	DNA ligase	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	0	no C. crescentus homolog found						2	b2411	ligA	"DNA ligase, NAD(+)-dependent"	0E+00	49%	essential
RPA3520	39936582	3978897	3979805	909	-	-	lipoprotein	[R] General function prediction only	Lipoproteins	Lipoproteins	1	CCNA_02063	bamD	beta-barrel assembly machine (BAM) protein BamD	2E-77	38%	essential	0	no E. coli homolog found					
RPA3521	39936583	3980032	3981087	1056	-	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_02064	lpxC	UDP-3-O-(3-hydroxymyristoyl) N-acetylglucosamin	1E-84	38%	essential	1	b0096	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	4E-83	36%	essential
RPA3522	39936584	3981341	3983119	1779	-	ftsZ	cell division protein FtsZ	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	1	CCNA_02623	ftsZ	cell division protein FtsZ	1E-138	39%	essential	0	no E. coli homolog found					
RPA3523	39936585	3983213	3984535	1323	-	ftsA	cell division protein FtsA	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	1	CCNA_02624	ftsA	cell division protein FtsA	1E-83	34%	essential	1	b0094	ftsA	ATP-binding cell division protein	2E-58	28%	essential
RPA3525	39936587	3985840	3986829	990	-	ddlA	D-alanine--D-alanine ligase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_02626	-	D-alanine--D-alanine ligase	1E-33	33%	essential	2	b0092	ddlB	D-alanine:D-alanine ligase	3E-39	33%	Nonessential
RPA3528	39936590	3989368	3990342	975	-	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_02628	-	UDP-N-acetylenolpyruvoylglucosamine reductase	9E-107	50%	essential	1	b3972	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	3E-16	26%	essential
RPA3529	39936591	3990383	3991786	1404	-	murC	UDP-N-acetylmuramate--L-alanine ligase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_02629	-	UDP-N-acetylmuramate--alanine ligase	0E+00	63%	essential	2	b0091	murC	UDP-N-acetylmuramate:L-alanine ligase	2E-114	46%	essential
RPA3530	39936592	3991923	3993023	1101	-	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_02634	murG	undecaprenyldiphospho-muramoylpentapeptid	9E-96	45%	essential	1	b0090	murG	N-acetylglucosaminyl transferase	1E-41	32%	essential
RPA3531	39936593	3993028	3994170	1143	-	ftsW	cell division protein ftsW	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	2	CCNA_02635	ftsW	cell division protein FtsW	1E-118	45%	essential	2	b0089	ftsW	lipid II flippase; integral membrane protein	3E-43	30%	essential
RPA3533	39936595	3996009	3997094	1086	-	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_02640	-	phospho-N-acetylmuramoyl-pentapeptide	6E-151	59%	essential	1	b0087	mraY	phospho-N-acetylmuramoyl-pentapeptide	7E-128	52%	essential
RPA3534	39936596	3997105	3998544	1440	-	murF	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase"	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	2	CCNA_02641	-	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D	1E-112	44%	essential	1	b0086	murF	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase"	1E-57	32%	essential
RPA3535	39936597	3998541	3999998	1458	-	murE	"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase"	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	2	CCNA_02642	-	UDP-N-acetylmuramoylalanyl-D-glutamate--2	4E-137	51%	essential	2	b0085	murE	"UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase"	2E-74	36%	essential
RPA3536	39936598	4000111	4001865	1755	-	-	peptidoglycan glycosyltransferase	[M] Cell wall/membrane/envelope biogenesis	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	2	CCNA_02643	ftsI	penicillin-binding protein FtsI	2E-111	35%	essential	2	b0084	ftsI	transpeptidase involved in septal peptidoglycan	4E-54	28%	essential
RPA3537	39936599	4001862	4002245	384	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3539	39936601	4003820	4004605	786	+	-	peptidoglycan binding domain-containing protein	[V] Defense mechanisms	Conserved domain proteins	Conserved domain proteins	1	CCNA_02650	-	N-acetyl-anhydromuramyl-L-alanine amidase	3E-80	48%	High_Fitness_Costs	2	b0867	amiD	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase"	4E-43	34%	Nonessential
RPA3541	39936603	4005773	4005973	201	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3573	39936635	4039635	4040612	978	+	thiO	glycine oxidase ThiO	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_02414	-	DadA-related amino acid oxidase	2E-05	27%	Nonessential	0	no E. coli homolog found					
RPA3574	39936636	4040603	4040800	198	+	thiS	thiamine biosynthesis protein ThiS	[H] Coenzyme transport and metabolism	Metabolism	Thiamine biosynthesis	4	CCNA_01958	thiS	ThiaminS ubiquitin-like sulfur carrier protei	4E-12	37%	essential	4	b4407	thiS	immediate sulfur donor in thiazole formation	2E-09	26%	Nonessential
RPA3575	39936637	4041053	4041835	783	+	thiG	thiazole synthase	[H] Coenzyme transport and metabolism	Metabolism	Thiamine biosynthesis	1	CCNA_01957	thiG	thiazole biosynthesis protein ThiG	4E-59	41%	essential	1	b3991	thiG	thiamin biosynthesis ThiGH complex subunit	1E-66	40%	Nonessential
RPA3576	39936638	4041822	4042430	609	+	thiE	thiamine-phosphate pyrophosphorylase	[H] Coenzyme transport and metabolism	Metabolism	Thiamine biosynthesis	1	CCNA_03373	-	thiamin-phosphate pyrophosphorylase	5E-17	30%	essential	1	b3993	thiE	thiamin phosphate synthase	7E-59	46%	Nonessential
RPA3611	39936673	4072807	4073691	885	-	-	ErfK/YbiS/YcfS/YnhG protein	[S] Function unknown	Conserved domain proteins	Conserved domain proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3644	39936706	4111821	4113971	2151	+	glgB	glycogen branching protein	[G] Carbohydrate transport and metabolism	Metabolism	Glycogen synthesis	0	no C. crescentus homolog found						1	b3432	glgB	"1,4-alpha-glucan branching enzyme"	0E+00	55%	Nonessential
RPA3671	39936733	4145425	4145703	279	+	infA	translation initiation factor IF-1	"[J] Translation, ribosomal structure and biogenesis"	Translation	Translation initiation	2	CCNA_02428	-	translation initiation factor 1 (IF-1)	7E-35	50%	essential	2	b0884	infA	translation initiation factor IF-1	1E-29	41%	essential
RPA3672	39936734	4145943	4146197	255	+	cspA5	cold-shock DNA-binding domain-containing protein	[K] Transcription	Stress response	Stress response	4	CCNA_02997	cspA	cold shock protein CspA	6E-38	61%	Nonessential	9	b0623	cspE	DNA-binding transcriptional repressor	8E-23	38%	Nonessential
RPA3688	39936750	4160799	4162436	1638	-	-	peptide ABC transporter ATP-binding protein	[R] General function prediction only	Transport	Transport	0	no C. crescentus homolog found						5	b2180	yejF	"microcin C transporter, ATP-binding subunit"	0E+00	53%	Nonessential
RPA3694	39936756	4169473	4170210	738	+	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Amino acid metabolism	1	CCNA_03029	-	3-deoxy-manno-octulosonate cytidylyltransferase	1E-75	53%	essential	1	b0918	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7E-66	49%	essential
